C,NEMP.WORLD,PREDISPATCHIS,AEMO,PUBLIC,2020/03/19,12:01:14,0000000320548349,PREDISPATCHIS,0000000320548346
I,PREDISPATCH,CASE_SOLUTION,1,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASE_SOLUTION,1,2020031917,1,18,,0,527833346.7460,0,0,0,0,179,,,,,0,0,0,"2020/03/19 12:00:48",0
I,PREDISPATCH,LOCAL_PRICE,1,PREDISPATCHSEQNO,DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",BNGSF2,06,-289.51,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",BNGSF2,07,-290.55,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",CETHANA,13,-0.38,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",CETHANA,16,-3.45,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",CETHANA,17,-0.63,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",CLEMGPWF,01,-2436.3,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",CLEMGPWF,02,-1042.7,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",CLEMGPWF,03,-1043.61,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",CLEMGPWF,04,-1043.41,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",CLEMGPWF,05,-1047.42,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",CLEMGPWF,06,-1043.67,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",CLEMGPWF,07,-1047.41,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",CTHLWF1,13,-1.31,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",CTHLWF1,16,-12.28,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",CTHLWF1,17,-2.25,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",DALNTH01,01,-675.34,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",DALNTH01,02,-289.04,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",DALNTH01,03,-289.29,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",DALNTH01,04,-289.23,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",DALNTH01,05,-290.35,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",DALNTH01,06,-289.3,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",DALNTH01,07,-290.34,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",DALNTHL1,01,675.34,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",DALNTHL1,02,289.04,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",DALNTHL1,03,289.29,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",DALNTHL1,04,289.23,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",DALNTHL1,05,290.35,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",DALNTHL1,06,289.3,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",DALNTHL1,07,290.34,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",DEVILS_G,13,-0.38,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:00:00",DEVILS_G,16,-3.45,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 20:30:00",DEVILS_G,17,-0.63,1,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 18:30:00",FISHER,13,-0.38,1,"2020/03/19 12:00:48"
